参数编号,CoE Index,参数名称,类型,位宽,访问,PDO映射,默认值,所属组,示波器推荐通道
P1-46,0x212E,DRV's Parameter  P1-46,UDINT,32,rw,RT,-,P1,—
P1-47,0x212F,DRV's Parameter  P1-47,UINT,16,rw,RT,-,P1,—
P1-48,0x2130,DRV's Parameter  P1-48,UINT,16,rw,RT,-,P1,—
P1-49,0x2131,DRV's Parameter  P1-49,UINT,16,rw,RT,-,P1,—
P1-50,0x2132,DRV's Parameter  P1-50,UINT,16,ro,T,-,P1,—
P1-51,0x2133,DRV's Parameter  P1-51,UINT,16,ro,T,-,P1,—
P1-52,0x2134,DRV's Parameter  P1-52,UINT,16,rw,RT,-,P1,—
P1-53,0x2135,DRV's Parameter  P1-53,UINT,16,rw,RT,-,P1,—
P1-54,0x2136,DRV's Parameter  P1-54,UDINT,32,rw,RT,-,P1,—
P1-55,0x2137,DRV's Parameter  P1-55,UINT,16,rw,RT,-,P1,—
P1-56,0x2138,DRV's Parameter  P1-56,UINT,16,rw,RT,-,P1,—
P1-57,0x2139,DRV's Parameter  P1-57,UINT,16,rw,RT,-,P1,—
P1-58,0x213A,DRV's Parameter  P1-58,UINT,16,rw,RT,-,P1,—
P1-59,0x213B,DRV's Parameter  P1-59,UINT,16,rw,RT,-,P1,—
P1-60,0x213C,DRV's Parameter  P1-60,UINT,16,rw,RT,-,P1,—
P1-61,0x213D,DRV's Parameter  P1-61,UINT,16,ro,T,-,P1,—
P1-62,0x213E,DRV's Parameter  P1-62,UINT,16,rw,RT,-,P1,—
P1-63,0x213F,DRV's Parameter  P1-63,UINT,16,rw,RT,-,P1,—
P1-64,0x2140,DRV's Parameter  P1-64,UINT,16,rw,RT,-,P1,—
P1-65,0x2141,DRV's Parameter  P1-65,UINT,16,rw,RT,-,P1,—
P1-66,0x2142,DRV's Parameter  P1-66,UINT,16,rw,RT,-,P1,—
P1-67,0x2143,DRV's Parameter  P1-67,UINT,16,ro,T,-,P1,—
P1-68,0x2144,DRV's Parameter  P1-68,UINT,16,rw,RT,-,P1,—
P1-69,0x2145,DRV's Parameter  P1-69,UINT,16,ro,T,-,P1,—
P1-70,0x2146,DRV's Parameter  P1-70,UINT,16,ro,T,-,P1,—
P1-71,0x2147,DRV's Parameter  P1-71,UINT,16,ro,T,-,P1,—
P1-72,0x2148,DRV's Parameter  P1-72,UDINT,32,rw,RT,-,P1,—
P1-73,0x2149,DRV's Parameter  P1-73,UDINT,32,rw,RT,-,P1,—
P1-74,0x214A,DRV's Parameter  P1-74,UINT,16,rw,RT,-,P1,—
P1-75,0x214B,DRV's Parameter  P1-75,UINT,16,rw,RT,-,P1,—
P1-76,0x214C,DRV's Parameter  P1-76,UINT,16,rw,RT,-,P1,—
P1-77,0x214D,DRV's Parameter  P1-77,UINT,16,rw,RT,-,P1,—
P1-78,0x214E,DRV's Parameter  P1-78,UINT,16,rw,RT,-,P1,—
P1-79,0x214F,DRV's Parameter  P1-79,UINT,16,rw,RT,-,P1,—
P1-80,0x2150,DRV's Parameter  P1-80,UINT,16,rw,RT,-,P1,—
P1-81,0x2151,DRV's Parameter  P1-81,UDINT,32,rw,RT,-,P1,—
P1-82,0x2152,DRV's Parameter  P1-82,UINT,16,rw,RT,-,P1,—
P1-83,0x2153,DRV's Parameter  P1-83,UINT,16,rw,RT,-,P1,—
P1-84,0x2154,DRV's Parameter  P1-84,UINT,16,rw,RT,-,P1,—
P1-85,0x2155,DRV's Parameter  P1-85,UINT,16,rw,RT,-,P1,—
P1-86,0x2156,DRV's Parameter  P1-86,UINT,16,rw,RT,-,P1,—
P1-87,0x2157,DRV's Parameter  P1-87,UINT,16,rw,RT,-,P1,—
P1-88,0x2158,DRV's Parameter  P1-88,UINT,16,rw,RT,-,P1,—
P1-89,0x2159,DRV's Parameter  P1-89,UINT,16,rw,RT,-,P1,—
P1-90,0x215A,DRV's Parameter  P1-90,UINT,16,rw,RT,-,P1,—
P1-91,0x215B,DRV's Parameter  P1-91,UINT,16,rw,RT,-,P1,—
P1-92,0x215C,DRV's Parameter  P1-92,UINT,16,rw,RT,-,P1,—
P1-93,0x215D,DRV's Parameter  P1-93,UINT,16,rw,RT,-,P1,—
P1-94,0x215E,DRV's Parameter  P1-94,UINT,16,rw,RT,-,P1,—
P1-95,0x215F,DRV's Parameter  P1-95,UINT,16,rw,RT,-,P1,—
