参数编号,CoE Index,中文名称,英文名称,类型,位宽,访问,PDO映射,单位,设定范围,默认值,控制模式,所属组,示波器通道,功能说明
P2-99,0x2263,共振抑制Notch filter 4 - 衰减率,DRV's Parameter  P2-99,UINT,16,rw,RT,| -dB |,| 0 ~ 40 |,| 0 |,| All |,P2,—,| 第四组共振抑制Notch filter衰减率。若将衰减率的值设为5，则为-5 dB。设为0时，关闭Notch filter 4功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-100,0x2264,共振抑制Notch filter 4 - Q值,DRV's Parameter  P2-100,UINT,16,ro,T,| - |,| 1 ~ 10 |,| 5 |,| All |,P2,—,| 第四组机械共振宽Q值。若P2.099设为0，表示关闭Notch filter 4功能。P2.098、P2.099和P2.100为第四组共振抑制Notch filter。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-101,0x2265,共振抑制Notch filter 5 - 频率,DRV's Parameter  P2-101,UINT,16,rw,RT,| Hz |,| 50 ~ 5000 |,| 1000 |,| All |,P2,—,| 第五组机械共振频率设定值。若P2.102设为0，表示关闭Notch filter 5功能。P2.101、P2.102和P2.103为第五组共振抑制Notch filter。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-102,0x2266,共振抑制Notch filter 5 - 衰减率,DRV's Parameter  P2-102,UINT,16,ro,T,| -dB |,| 0 ~ 40 |,| 0 |,| All |,P2,—,| 第五组共振抑制Notch filter衰减率。若将衰减率的值设为5，则为-5 dB。设为0时，表示关闭Notch filter 5功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-103,0x2267,共振抑制Notch filter 5 - Q值,DRV's Parameter  P2-103,UINT,16,rw,RT,| - |,| 1 ~ 10 |,| 5 |,| All |,P2,—,| 第五组机械共振Q值。若P2.102设为0，表示关闭Notch filter 5功能。P2.101、P2.102和P2.103为第五组共振抑制Notch filter。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-104,0x2268,P / PI切换扭力命令条件,DRV's Parameter  P2-104,UINT,16,ro,T,| % |,| 1 ~ 800 |,| 800 |,| PT / PR / S / Sz |,P2,—,| 当扭力命令超过P2.104时，速度控制器增益由PI切换为P，减少响应过冲。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-105,0x2269,自动增益调整准位1,DRV's Parameter  P2-105,UINT,16,rw,RT,| - |,| 1 ~ 21 |,| 11 |,| All |,P2,—,| 此参数用于调整自动调机时的带宽。若此值越大，自动调机所调整后的带宽会越高，但系统裕度可能不足，导致机构振荡；若此值越小，自动调机所调整后的带宽会越低，但响应较缓慢。 | 自动增益调整准位1 | 刚性与响应 | 适用机构 | 1 ~ 7 | 低刚性、低响应 | 皮带、齿轮齿条、减速机、凸轮 | 8 ~14 | 中刚性、中响应 | 螺杆 | 15 ~ 21 | 高刚性、高响应 | 直结型机构 | 
P2-106,0x226A,自动增益调整准位2,DRV's Parameter  P2-106,UDINT,32,ro,T,| pulse |,| 1 ~ 50331648 |,| 2000 |,| All |,P2,—,| 此参数用于调整自动调机时所允许的最大过冲量，依据用户需求或机台特性设定过冲量范围。若此值越大，自动调机所容许的最大过冲量会越大，但响应较迅速；若此值越小，自动调机所容许的最大过冲量会越小，但响应较缓慢。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-107,0x226B,共振抑制低通滤波变动比率,DRV's Parameter  P2-107,UINT,16,rw,RT,| % |,| 0 ~ 100 |,| 100 |,| All |,P2,—,| 依据增益切换条件切换 | 共振抑制低通滤波 | (P2.025)之变动率。 | (与P2.025的数值成反比，当P2.017的设定值越小，滤波效果越强) | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-108,0x226C,保留,DRV's Parameter  P2-108,UINT,16,ro,T,,,,,P2,—,
P2-109,0x226D,DRV's Parameter  P2-109,DRV's Parameter  P2-109,UINT,16,rw,RT,—,—,,—,P2,—,
P2-110,0x226E,DRV's Parameter  P2-110,DRV's Parameter  P2-110,UINT,16,ro,T,—,—,,—,P2,—,
P2-111,0x226F,DRV's Parameter  P2-111,DRV's Parameter  P2-111,UINT,16,rw,RT,—,—,,—,P2,—,
P2-112,0x2270,▲,DRV's Parameter  P2-112,UINT,16,ro,T,| - |,| 0x0000 ~ 0x153F |,| 0x0018 |,| All |,P2,—,| 位 | 功能 | 说明 | Bit 0 | 保留 | - | Bit 1 | 开启AL089 | 0：关闭AL089 | 1：开启AL089 | Bit 2 ~ Bit 7 | 保留 | - | Bit 8 | 防撞功能选择 | 不适用于扭矩模式。 | 电机防撞保护功能2目前仅支持有安装霍尔组件之电机 (PM.003.Y = 1)或绝对型电机。 | 0：电机防撞保护功能1 | (参阅P1.05
P2-113,0x2271,外扰抑振器带宽,DRV's Parameter  P2-113,UINT,16,rw,RT,| Hz |,| 0 ~ 3000 |,| 50 |,| T |,P2,—,| 当P2.114设为0时，关闭外扰抑振器功能。建议将P2.113设为默认值50。调越高，易产生高频共振；调越低，抑制低频抖动效果越差。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-114,0x2272,外扰抑振器层级,DRV's Parameter  P2-114,UINT,16,ro,T,| - |,| 0 ~ 500 |,| 0 |,| T |,P2,—,| 当P2.114设为0时，关闭外扰抑振器功能。调大此参数即可加强外扰抑振器的效果，但若调太大则有响应变慢与系统发散的风险。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-115,0x2273,保留,DRV's Parameter  P2-115,UINT,16,rw,RT,,,,,P2,—,
P2-116,0x2274,DRV's Parameter  P2-116,DRV's Parameter  P2-116,UINT,16,ro,T,—,—,,—,P2,—,
P2-117,0x2275,DRV's Parameter  P2-117,DRV's Parameter  P2-117,UINT,16,rw,RT,—,—,,—,P2,—,
P2-118,0x2276,DRV's Parameter  P2-118,DRV's Parameter  P2-118,UINT,16,ro,T,—,—,,—,P2,—,
P2-119,0x2277,DRV's Parameter  P2-119,DRV's Parameter  P2-119,UINT,16,rw,RT,—,—,,—,P2,—,
P2-120,0x2278,DRV's Parameter  P2-120,DRV's Parameter  P2-120,UINT,16,ro,T,—,—,,—,P2,—,
P2-121,0x2279,特殊位缓存器6,DRV's Parameter  P2-121,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0x000001FF |,| 0x00000000 |,| All |,P2,—,| 位 | 功能 | 说明 | Bit 0 | 保留 | - | Bit 1 | 通讯模式下，回原点后的行为设定 | 0：回原点后绝对寻址到经原点偏移值 (OD 607Ch)所移动后的位置 | 1：回原点后仅做减速停止 | Bit 2 | 通讯模式下，原点定义值(P6.001)与原点偏移值 (OD 607Ch)的设定值定义 | 0：原点定义值(P6.001) = 将OD 607Ch设定值乘上一个负
P2-122,0x227A,保留,DRV's Parameter  P2-122,UINT,16,ro,T,,,,,P2,—,
P2-123,0x227B,DRV's Parameter  P2-123,DRV's Parameter  P2-123,UINT,16,rw,RT,—,—,,—,P2,—,
P2-124,0x227C,DRV's Parameter  P2-124,DRV's Parameter  P2-124,UDINT,32,ro,T,—,—,,—,P2,—,
P2-125,0x227D,特殊位缓存器7,DRV's Parameter  P2-125,UINT,16,rw,RT,| - |,| 0x0000 ~ 0xFFFF |,| 0x0000 |,| All |,P2,—,| 位 | 功能 | 说明 | Bit 0 | 监控变量的速度回授 | (P0.002 = 7)滤波频率 | 0：15 Hz | 1：1 Hz | Bit 1、Bit 2 | 保留 | - | Bit 3 | 带宽响应层级回退功能 | 增益调整模式设为模式1、模式2或模式3时才可使用此功能。 | 伺服判断机台共振达到系统极限而无法抑制共振时，将自动回退至不会共振的层级。 | 0：关闭 | 1：开启
P3-00,0x2300,●,DRV's Parameter  P3-00,UINT,16,rw,RT,| - |,"| 0x0001 ~ 0x007F (A3-M, A3-L, A3-F) | 0x0001 ~ 0xFFFF (A3-E) |",| 0x007F |,| All |,P3,—,| YX | 通讯局号设定 | UZ | 保留 | 使用RS-485通讯时，一组伺服驱动器仅能设定一局号。若重复设定局号将导致无法正常通讯。 | 此站号代表本驱动器在通讯网络上的绝对地址，适用于RS-485、CANopen与DMCNET。 | 当上层Modbus的通讯局号为0xFF时，具有自动回复功能，不管局号是否符合，驱动器都会接收并回复，但是P3.000无法被设定为0xFF。 | > | [参
P3-01,0x2301,●,DRV's Parameter  P3-01,UINT,16,rw,RT,| - |,"| 0x0000 ~ 0x0405 (A3-M, A3-L, A3-E) | 0x0000 ~ 0xF405 (A3-F) |","| 0x0203 (A3-M, A3-L, A3-E) | 0x3203 (A3-F) |",| All |,P3,—,| X | RS-485通讯传输率 | Z | CANopen / DMCNET / EtherCAT通讯传输率 | Y | 保留 | U | DMCNET轴卡 | X：RS-485通讯传输率 | 0：4800 bps | 1：9600 bps | 2：19200 bps | 3：38400 bps | 4：57600 bps | 5：115200 bps | Z：CANopen / DMCNET
P3-02,0x2302,Modbus通讯协议,DRV's Parameter  P3-02,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x0008 |,| 0x0006 |,| All |,P3,—,| 设定值的定义如下： | 0：7，N，2 (Modbus，ASCII) | 1：7，E，1 (Modbus，ASCII) | 2：7，O，1 (Modbus，ASCII) | 3：8，N，2 (Modbus，ASCII) | 4：8，E，1 (Modbus，ASCII) | 5：8，O，1 (Modbus，ASCII) | 6：8，N，2 (Modbus，RTU) | 7：8，E，1 (Modb
P3-03,0x2303,Modbus通讯错误处置,DRV's Parameter  P3-03,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x0001 |,| 0x0000 |,| All |,P3,—,| 0：发出警告(AL020)并继续运转。 | 1：发出警告(AL020)且减速停止(减速时间设于参数P5.003.B)。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P3-04,0x2304,Modbus通讯逾时设定,DRV's Parameter  P3-04,UINT,16,rw,RT,| sec |,| 0 ~ 20 |,| 0 |,| All |,P3,—,| 设定值不为0时立即开启通讯逾时功能，若设为0则关闭此逾时功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P3-05,0x2305,Modbus通讯机能,DRV's Parameter  P3-05,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x0112 |,| 0x0000 |,| All |,P3,—,| X | 保留 | Z | 使用Modbus通讯时，当功能码为03H或10H时(读取或写入多个字组)，系统将优先读取或写入高位数据 | Y | 设定驱动器为Modbus的主站或从站 | U | 保留 | Y：设定驱动器为Modbus的主站或从站 | 0：Modbus从站 | 1：Modbus主站 | Z：使用Modbus通讯时，当功能码为03H或10H时(读取或写入多个字组)，系统将优先读取或写
P3-06,0x2306,输入接点(DI)来源控制开关,DRV's Parameter  P3-06,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x1FFF |,| 0x0000 |,| All |,P3,—,| DI来源控制开关。此参数每1位决定1个DI之信号输入来源：Bit 0 ~ Bit 12对应至DI1 ~ DI13，其位设定表示如下： | 0：输入接点状态由外部硬件端子控制。 | 1：输入接点状态由系统参数P4.007控制。 | 数字输入接脚DI功能规划请参考： | DI1 ~ DI8：P2.010 ~ P2.017 | DI9 ~ DI13：P2.036 ~ P2.040 | > | [参数
P3-07,0x2307,Modbus通讯回复延迟时间,DRV's Parameter  P3-07,UINT,16,rw,RT,| 0.5 ms |,| 0 ~ 1000 |,| 1 |,| All |,P3,—,| 延迟驱动器回复上位控制器之通讯时间。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P3-08,0x2308,保留,DRV's Parameter  P3-08,UINT,16,rw,RT,,,,,P3,—,
P3-09,0x2309,通讯同步设定,DRV's Parameter  P3-09,UINT,16,rw,RT,| - |,| 如下所示 |,| 0x5055 |,| CANopen / EtherCAT |,P3,—,"| 通讯同步设定分成U、Z、Y、X四位 (16进位)： | 位数 | U | Z | Y | X | 功能 | 同步误差范围(CANopen) | 目标值 | (EtherCAT) | 死区范围 | (CANopen) | 保留 | 范围 | 1 ~ 9 | M, F, L：0 ~ F | E：0 ~ A | 0 ~ F | - | 通讯从站，利用同步信号与主站同步，定义如下： | Y：设定死区的"
P3-10,0x230A,CANopen / DMCNET协议设定,DRV's Parameter  P3-10,UINT,16,rw,RT,| - |,| 0x0000 ~ 0xFFFF |,| 0x1011 |,| CANopen / DMCNET |,P3,—,| X | 保留 | Z | 扭力限制来源 | Y | 通讯错误时电机状态 | U | PDO异警是否自动清除 | Y：通讯错误时电机状态 | 0：通讯错误时(AL170)电机仍持续运转(仅DMCNET模式与CANopen B模式有作用)。 | 1：通讯错误时(AL180)电机Servo Off(仅CANopen C模式有作用)。 | Z：扭力限制来源(仅DMCNET模式有作用) | 0：通讯命令
P3-11,0x230B,CANopen / DMCNET选项,DRV's Parameter  P3-11,UINT,16,rw,RT,| - |,| 如下所示 |,| 0x0000 |,| CANopen / DMCNET |,P3,—,| X | 参数是否存入EEPROM | Z | 保留 | Y | 保留 | U | 保留 | X：参数是否存入EEPROM | 0：不会将参数存入EEPROM。 | 1：使用CANopen / DMCNET封包(PDO)写入参数时会将参数存入EEPROM。 | 注：若X设为1，并且使用DMCNET封包(PDO)持续写入参数，容易造成EEPROM寿命缩短。 | > | [参数列表] | [2022
P3-12,0x230C,通讯支持设定,DRV's Parameter  P3-12,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x1111 |,| 0x0000 |,| CANopen / DMCNET / EtherCAT |,P3,—,| X | 保留 | Z | 参数载入CANopen / DMCNET / EtherCAT参数数值 | Y | 保留 | U | 极限异警发生时是否需要错误清除 | Z：参数载入CANopen / DMCNET / EtherCAT参数数值 | 0：在驱动器重新上下电或是进行通讯重置后，下表的参数会载入CANopen / DMCNET / EtherCAT参数的数值。 | 1：在驱动器重新上下电
P3-13,0x230D,上位机全闭环回授来源设定,DRV's Parameter  P3-13,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x0022 |,| 0x0000 |,| PR * (全闭环) |,P3,—,| X | 全闭环的编码器回授来源 | Y | 全闭环模式下的Z相偏移量来源 | Z | 保留 | U | 保留 | X：全闭环的编码器回授来源 | 0：电机回授脉冲数 | 1：辅助编码器回授脉冲数 | 2：半闭环时，来源为电机回授脉冲数；全闭环时，来源为辅助编码器回授脉冲数 | Y：全闭环模式下的Z相偏移量来源 | 0：电机 | 1：辅助编码器 | 2：半闭环时，来源为电机的Z相偏移量；全闭环时
P3-14,0x230E,保留,DRV's Parameter  P3-14,UINT,16,ro,T,,,,,P3,—,
P3-15,0x230F,DRV's Parameter  P3-15,DRV's Parameter  P3-15,UINT,16,ro,T,—,—,,—,P3,—,
P3-16,0x2310,DRV's Parameter  P3-16,DRV's Parameter  P3-16,UINT,16,ro,T,—,—,,—,P3,—,
P3-17,0x2311,CANopen B模式断线延迟时间,DRV's Parameter  P3-17,UINT,16,ro,T,| ms |,| 1 ~ 1000 |,| 1000 |,| CANopen |,P3,—,| 使用CANopen B模式下的PV (速度规划)、PT (扭矩规划)或HM (原点复归)模式时，若通讯断线的持续时间超过此设定值，则系统发出异警AL303。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P3-18,0x2312,EtherCAT特殊功能开关,DRV's Parameter  P3-18,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0x01112211 |,| 0x00002000 |,| EtherCAT |,P3,—,| 高位 | 低位 | A | 上电后，EtherCAT Station Alias Register 0x0012加载内容来源设定 | X | 在PV (速度规划模式)或CSV (周期同步速度模式)的控制模式下，目标速度(OD 60FFh)与速度回授(OD 606Ch)的单位选择 | B | 保留 | Y | 保留 | C | 最大速度限制OD 607Fh、OD 6080h的单位选择 | Z |
P3-19,0x2313,Statusword显示内容设定,DRV's Parameter  P3-19,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0x0000FFFF |,| 0x00000021 |,| CANopen / EtherCAT |,P3,—,| 高位 | 低位 | A | 保留 | X | 保留 | B | 保留 | Y | 保留 | C | 保留 | Z | OD 6041h [Bit 14]显示内容 | D | 保留 | U | 保留 | Z：OD 6041h [Bit 14]显示内容 | 0：显示为正极限状态。 | 1：显示目前驱动器与上位机同步状态，On状态表示已经同步(SYNC_OK)。 | > | [参数列表] | [20
P3-20,0x2314,保留,DRV's Parameter  P3-20,UINT,16,rw,RT,,,,,P3,—,
P3-21,0x2315,DRV's Parameter  P3-21,DRV's Parameter  P3-21,UINT,16,rw,RT,—,—,,—,P3,—,
P3-22,0x2316,EtherCAT PDO Timeout设定,DRV's Parameter  P3-22,UINT,16,rw,RT,| - |,| 0x0002 ~ 0xFF14 |,| 0xFF04 |,| EtherCAT |,P3,—,使用PDO进行周期性数据交换时，可利用本参数设定PDO接收的容许逾时时间。以下两组数值可分别设定AL180与AL3E3的异警触发条件，以确保驱动器能确实接收PDO封包。异警发生时，表示封包遗失的时间已超过容许范围。 | 位数 | UZ | YX | 功能 | AL180异警条件 | AL3E3异警条件 | 范围 | 0x00 (关闭) ~ 0xFF (默认值) | 0x02 ~ 0x14 | YX
P3-23,0x2317,保留,DRV's Parameter  P3-23,UINT,16,rw,RT,,,,,P3,—,
P3-24,0x2318,DRV's Parameter  P3-24,DRV's Parameter  P3-24,UINT,16,rw,RT,—,—,,—,P3,—,
P3-25,0x2319,DRV's Parameter  P3-25,DRV's Parameter  P3-25,UINT,16,rw,RT,—,—,,—,P3,—,
P3-26,0x231A,DRV's Parameter  P3-26,DRV's Parameter  P3-26,UINT,16,rw,RT,—,—,,—,P3,—,
P3-27,0x231B,DRV's Parameter  P3-27,DRV's Parameter  P3-27,UINT,16,rw,RT,—,—,,—,P3,—,
P3-28,0x231C,DRV's Parameter  P3-28,DRV's Parameter  P3-28,UINT,16,rw,RT,—,—,,—,P3,—,
P3-29,0x231D,DRV's Parameter  P3-29,DRV's Parameter  P3-29,UINT,16,rw,RT,—,—,,—,P3,—,
P3-30,0x231E,DRV's Parameter  P3-30,DRV's Parameter  P3-30,UINT,16,rw,RT,—,—,,—,P3,—,
P3-31,0x231F,DRV's Parameter  P3-31,DRV's Parameter  P3-31,UINT,16,rw,RT,—,—,,—,P3,—,
P3-32,0x2320,DRV's Parameter  P3-32,DRV's Parameter  P3-32,UINT,16,rw,RT,—,—,,—,P3,—,
P3-33,0x2321,DRV's Parameter  P3-33,DRV's Parameter  P3-33,UINT,16,rw,RT,—,—,,—,P3,—,
P3-34,0x2322,DRV's Parameter  P3-34,DRV's Parameter  P3-34,UINT,16,rw,RT,—,—,,—,P3,—,
P3-35,0x2323,DRV's Parameter  P3-35,DRV's Parameter  P3-35,UINT,16,rw,RT,—,—,,—,P3,—,
P3-36,0x2324,DRV's Parameter  P3-36,DRV's Parameter  P3-36,UINT,16,rw,RT,—,—,,—,P3,—,
P3-37,0x2325,DRV's Parameter  P3-37,DRV's Parameter  P3-37,UINT,16,rw,RT,—,—,,—,P3,—,
P3-38,0x2326,DRV's Parameter  P3-38,DRV's Parameter  P3-38,UINT,16,rw,RT,—,—,,—,P3,—,
P4-00,0x2400,异常状态记录(最近一笔),DRV's Parameter  P4-00,UDINT,32,ro,T,| - |,| - |,| 0x00000000 |,| All |,P4,—,| 最近的一笔异常状态记录。 | 低位(LXXXX)：显示异警编号。 | 高位(hYYYY)：显示对应CANopen / DMCNET / EtherCAT的错误码。例如，当低位显示为ALF21时，此高位则为ALF21的错误码。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-01,0x2401,★,DRV's Parameter  P4-01,UDINT,32,ro,T,| - |,| - |,| 0x00000000 |,| All |,P4,—,| 倒数第二笔异常状态记录。 | 低位(LXXXX)：显示异警编号。 | 高位(hYYYY)：显示对应CANopen / DMCNET / EtherCAT的错误码。例如，当低位显示为ALF21时，此高位则为ALF21的错误码。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-02,0x2402,★,DRV's Parameter  P4-02,UDINT,32,ro,T,| - |,| - |,| 0x00000000 |,| All |,P4,—,| 倒数第三笔异常状态记录。 | 低位(LXXXX)：显示异警编号。 | 高位(hYYYY)：显示对应CANopen / DMCNET / EtherCAT的错误码。例如，当低位显示为ALF21时，此高位则为ALF21的错误码。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-03,0x2403,★,DRV's Parameter  P4-03,UDINT,32,ro,T,| - |,| - |,| 0x00000000 |,| All |,P4,—,| 倒数第四笔异常状态记录。 | 低位(LXXXX)：显示异警编号。 | 高位(hYYYY)：显示对应CANopen / DMCNET / EtherCAT的错误码。例如，当低位显示为ALF21时，此高位则为ALF21的错误码。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-04,0x2404,★,DRV's Parameter  P4-04,UDINT,32,ro,T,| - |,| - |,| 0x00000000 |,| All |,P4,—,| 倒数第五笔异常状态记录。 | 低位(LXXXX)：显示异警编号。 | 高位(hYYYY)：显示对应CANopen / DMCNET / EtherCAT的错误码。例如，当低位显示为ALF21时，此高位则为ALF21的错误码。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-05,0x2405,伺服电机寸动(JOG)控制,DRV's Parameter  P4-05,UINT,16,rw,RT,| 1 rpm (旋转)* | 0.01 mm/s (直线)* |,| 0 ~ 5000 (旋转)* | 0 ~ 50000 (直线)* |,| 20 |,| All |,P4,—,| 控制方式有下列三种： | 面板控制： | 由驱动器面板设定参数P4.005寸动速度后，面板会显示出JOG符号。按下UP键可控制正转方向寸动运转，按下DOWN键可控制反转方向寸动运转。放开按键可停止寸动运转。此设定状态下若有显示任何异警，则无法运转。 | DI控制： | 设定DI值为0x37 (JOGU)、0x38 (JOGD) (参考表8.1)，则可藉由此DI控制，进行正转与反转寸动控制。 |
P4-06,0x2406,■,DRV's Parameter  P4-06,UINT,16,rw,RT,| - |,| 0x0000 ~ 0xFFFF |,| 0x0000 |,| All |,P4,—,| bit 00：对应DO code = 0x30 | bit 08：对应DO code = 0x38 | bit 01：对应DO code = 0x31 | bit 09：对应DO code = 0x39 | bit 02：对应DO code = 0x32 | bit 10：对应DO code = 0x3A | bit 03：对应DO code = 0x33 | bit 11：对应DO code
P4-07,0x2407,■,DRV's Parameter  P4-07,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x3FFF |,| 0x0000 |,| All |,P4,—,| DI的输入信号可来自外部硬件端子(DI1 ~ DI5)或是软件SDI1 ~ 5 (对应参数P4.007的Bit 0 ~ 4)，并由参数P3.006来选择。P3.006对应的位为1，表示来源为软件SDI (P4.007)，反之，则来自硬件DI，如下图所示： | 参数读取：显示混合后之最终DI状态。 | 参数写入：写入软件SDI状态。(本参数不论由面板或通讯控制功能皆相同) | 例如：读取P4.0
P4-08,0x2408,★,DRV's Parameter  P4-08,UINT,16,ro,T,| - |,| 只读 |,| - |,| All |,P4,—,| 通过通讯读取此参数并检测MODE、UP、DOWN、SHIFT、SET五个按键是否正常运作。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-09,0x2409,★,DRV's Parameter  P4-09,UINT,16,ro,T,| - |,| 0x0000 ~ 0x001F |,| - |,| All |,P4,—,| 由面板或通讯读取均无差别。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-10,0x240A,▲■,DRV's Parameter  P4-10,UINT,16,rw,RT,| - |,| 0 ~ 14 |,| 0 |,| All |,P4,—,| 0：保留 | 4：执行电流检出器(W相)硬件偏移量校正 | 1：执行模拟量速度输入硬件偏移量校正 | 5：执行1 ~ 4项之硬件偏移量校正 | 2：执行模拟量扭矩输入硬件偏移量校正 | 6 ~ 14：保留 | 3：执行电流检出器(V相)硬件偏移量校正 | - | 注：校正功能需由参数P2.008设定才能启动。校正时，请移除连接于伺服的(外部)扭矩输入接线，且伺服状态须为Servo Off。 |
P4-11,0x240B,模拟量速度输入1 - 硬件偏移量校正值,DRV's Parameter  P4-11,UINT,16,rw,RT,| - |,| 13926 ~ 18842 |,| 工厂设定 |,| All |,P4,—,| 手动校正硬件偏移量。校正功能需由参数P2.008设定才能启动。由于本参数无法重置，不建议调整辅助校正功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-12,0x240C,模拟量速度输入2 - 硬件偏移量校正值,DRV's Parameter  P4-12,UINT,16,rw,RT,| - |,| 13926 ~ 18842 |,| 工厂设定 |,| All |,P4,—,| 手动校正硬件偏移量。校正功能需由参数P2.008设定才能启动。由于本参数无法重置，不建议调整辅助校正功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-13,0x240D,模拟量扭矩输入1 - 硬件偏移量校正值,DRV's Parameter  P4-13,UINT,16,rw,RT,| - |,| 13926 ~ 18842 |,| 工厂设定 |,| All |,P4,—,| 手动校正硬件偏移量。校正功能需由参数P2.008设定才能启动。由于本参数无法重置，不建议调整辅助校正功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-14,0x240E,模拟量扭矩输入2 - 硬件偏移量校正值,DRV's Parameter  P4-14,UINT,16,rw,RT,| - |,| 13926 ~ 18842 |,| 工厂设定 |,| All |,P4,—,| 手动校正硬件偏移量。校正功能需由参数P2.008设定才能启动。由于本参数无法重置，不建议调整辅助校正功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-15,0x240F,电流检出器(V1相) - 硬件偏移量校正值,DRV's Parameter  P4-15,UINT,16,rw,RT,| - |,| 13926 ~ 18842 |,| 工厂设定 |,| All |,P4,—,| 手动校正硬件偏移量。校正功能需由参数P2.008设定才能启动。由于本参数无法重置，不建议调整辅助校正功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-16,0x2410,电流检出器(V2相) - 硬件偏移量校正值,DRV's Parameter  P4-16,UINT,16,rw,RT,| - |,| 13926 ~ 18842 |,| 工厂设定 |,| All |,P4,—,| 手动校正硬件偏移量。校正功能需由参数P2.008设定才能启动。由于本参数无法重置，不建议调整辅助校正功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-17,0x2411,电流检出器(W1相) - 硬件偏移量校正值,DRV's Parameter  P4-17,UINT,16,rw,RT,| - |,| 13926 ~ 18842 |,| 工厂设定 |,| All |,P4,—,| 手动校正硬件偏移量。校正功能需由参数P2.008设定才能启动。由于本参数无法重置，不建议调整辅助校正功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-18,0x2412,电流检出器(W2相) - 硬件偏移量校正值,DRV's Parameter  P4-18,UINT,16,rw,RT,| - |,| 13926 ~ 18842 |,| 工厂设定 |,| All |,P4,—,| 手动校正硬件偏移量。校正功能需由参数P2.008设定才能启动。由于本参数无法重置，不建议调整辅助校正功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-19,0x2413,IGBT NTC校正准位(无法重置),DRV's Parameter  P4-19,UINT,16,rw,RT,| - |,| 1 ~ 4 |,| 工厂设定 |,| All |,P4,—,| 校正时请将驱动器冷却至25°C。校正功能需由参数P2.008设定才能启动。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-20,0x2414,模拟量监控输出(Ch1) - 偏移量补偿值,DRV's Parameter  P4-20,UINT,16,rw,RT,| mV |,| -800 ~ +800 |,| 0 |,| All |,P4,—,| 手动调整偏移量补偿值(无法重置)。此功能需由参数P2.008设定才能启动。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-21,0x2415,模拟量监控输出(Ch2) - 偏移量补偿值,DRV's Parameter  P4-21,UINT,16,rw,RT,| mV |,| -800 ~ +800 |,| 0 |,| All |,P4,—,| 手动调整偏移量补偿值(无法重置)。此功能需由参数P2.008设定才能启动。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-22,0x2416,模拟量速度输入 - 偏移量补偿值,DRV's Parameter  P4-22,UINT,16,rw,RT,| mV |,| -5000 ~ +5000 |,| 0 |,| S |,P4,—,| 手动调整偏移量补偿值。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P4-23,0x2417,模拟量扭矩输入 - 偏移量补偿值,DRV's Parameter  P4-23,UINT,16,rw,RT,| mV |,| -5000 ~ +5000 |,| 0 |,| T |,P4,—,| 手动调整偏移量补偿值。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
