参数编号,CoE Index,中文名称,英文名称,类型,位宽,访问,PDO映射,单位,设定范围,默认值,控制模式,所属组,示波器通道,功能说明
P0-25,0x2019,映射参数1,DRV's Parameter  P0-25,UDINT,32,rw,RT,| - |,| 取决于P0.035所对应的参数 |,| - |,| All |,P0,—,| 主要提供给用户用来快速连续读写原本通讯地址并不相连的分散参数群。可由面板或通信设置P0.035为欲通过映射参数读写的参数编号。对P0.025存取数据时，相当于存取P0.035所指定的参数。参数设定方式见P0.035说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-26,0x201A,映射参数2,DRV's Parameter  P0-26,UDINT,32,rw,RT,| - |,| 取决于P0.036所对应的参数 |,| - |,| All |,P0,—,| 使用方式同P0.025，映像目标由参数P0.036设定。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-27,0x201B,映射参数3,DRV's Parameter  P0-27,UDINT,32,rw,RT,| - |,| 取决于P0.037所对应的参数 |,| - |,| All |,P0,—,| 使用方式同P0.025，映像目标由参数P0.037设定。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-28,0x201C,映射参数4,DRV's Parameter  P0-28,UDINT,32,rw,RT,| - |,| 取决于P0.038所对应的参数 |,| - |,| All |,P0,—,| 使用方式同P0.025，映像目标由参数P0.038设定。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-29,0x201D,映射参数5,DRV's Parameter  P0-29,UDINT,32,rw,RT,| - |,| 取决于P0.039所对应的参数 |,| - |,| All |,P0,—,| 使用方式同P0.025，映像目标由参数P0.039设定。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-30,0x201E,映射参数6,DRV's Parameter  P0-30,UDINT,32,rw,RT,| - |,| 取决于P0.040所对应的参数 |,| - |,| All |,P0,—,| 使用方式同P0.025，映像目标由参数P0.040设定。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-31,0x201F,映射参数7,DRV's Parameter  P0-31,UDINT,32,rw,RT,| - |,| 取决于P0.041所对应的参数 |,| - |,| All |,P0,—,| 使用方式同P0.025，映像目标由参数P0.041设定。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-32,0x2020,映射参数8,DRV's Parameter  P0-32,UDINT,32,rw,RT,| - |,| 取决于P0.042所对应的参数 |,| - |,| All |,P0,—,| 使用方式同P0.025，映像目标由参数P0.042设定。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-33,0x2021,保留,DRV's Parameter  P0-33,UINT,16,ro,T,,,,,P0,—,
P0-34,0x2022,DRV's Parameter  P0-34,DRV's Parameter  P0-34,UINT,16,ro,T,—,—,,—,P0,—,
P0-35,0x2023,映射参数P0.025的映像目标设定,DRV's Parameter  P0-35,UDINT,32,rw,RT,| - |,| 取决于参数群的通讯地址 |,| - |,| All |,P0,—,| 高位的参数位置(PH)及低位的参数位置(PL)设定格式为： | 高位 | 低位 | BA | 参数索引的16进制码 | YX | 参数索引的16进制码 | C | 参数群组的16进制码 | Z | 参数群组的16进制码 | D | 无作用 | U | 无作用 | 选择区块数据存取缓存器1(P0.035)的对应参数内容；映像内容为32位，可设定映像到两个 | 16位参数或一个32位参数： | P
